,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,albany,75,US,1604779191,43,42.6,-73.97,71.01,5.82
1,vaini,20,TO,1604779328,83,-21.2,-175.2,75.2,5.82
2,souillac,20,MU,1604779329,78,-20.52,57.52,73.4,8.05
3,ushuaia,75,AR,1604779182,41,-54.8,-68.3,60.8,18.34
4,barra do garcas,20,BR,1604779330,37,-15.89,-52.26,96.8,2.24
5,grand gaube,14,MU,1604779330,75,-20.01,57.66,71.01,1.99
6,leh,0,IN,1604779330,61,34.17,77.58,28.69,3.98
7,rikitea,53,PF,1604779330,73,-23.12,-134.97,71.33,18.25
8,jacareacanga,99,BR,1604779330,47,-6.22,-57.75,91.89,2.66
9,mataura,94,NZ,1604779330,60,-46.19,168.86,50.0,8.99
10,nosy varika,5,MG,1604779330,86,-20.58,48.53,72.77,7.36
11,punta arenas,40,CL,1604779330,54,-53.15,-70.92,59.0,26.4
12,altamira,40,BR,1604779271,52,-3.2,-52.21,91.4,8.05
13,bluff,3,NZ,1604779223,60,-46.6,168.33,50.0,8.99
14,nikolskoye,90,RU,1604779331,81,59.7,30.79,48.2,15.66
15,bridlington,1,GB,1604779331,100,54.08,-0.19,43.0,1.12
16,victoria,0,HK,1604779228,57,22.29,114.16,78.01,1.01
17,ribeira brava,20,PT,1604779331,77,32.65,-17.07,64.99,4.85
18,san luis,63,AR,1604779331,23,-33.3,-66.34,84.76,8.25
19,faanui,77,PF,1604779331,79,-16.48,-151.75,78.93,12.53
20,bethel,1,US,1604779332,35,41.37,-73.41,73.4,4.7
21,boende,100,CD,1604779332,91,-0.22,20.87,70.63,1.28
22,tuatapere,47,NZ,1604779332,60,-46.13,167.68,50.0,8.99
23,weston,75,US,1604779332,88,26.1,-80.4,78.8,23.04
24,solnechnyy,100,RU,1604779332,87,50.72,136.63,19.38,5.84
25,contamana,87,PE,1604779332,31,-7.33,-75.02,98.26,5.01
26,bengkulu,100,ID,1604779332,86,-3.8,102.27,76.14,4.12
27,kapaa,40,US,1604779190,83,22.08,-159.32,80.6,10.29
28,roald,75,NO,1604779273,87,62.58,6.13,45.0,4.7
29,mackenzie,40,CA,1604779333,68,55.3,-123.17,26.6,6.93
30,yabrud,40,SY,1604779333,77,33.97,36.66,59.0,11.41
31,new norfolk,8,AU,1604779333,74,-42.78,147.06,44.01,2.33
32,flinders,65,AU,1604779333,80,-34.58,150.86,57.0,7.31
33,cape town,75,ZA,1604779263,82,-33.93,18.42,64.0,13.87
34,marsh harbour,100,BS,1604779333,75,26.54,-77.06,79.36,26.82
35,pisco,90,PE,1604779334,77,-13.7,-76.22,66.2,6.93
36,sibolga,100,ID,1604779334,81,1.74,98.78,77.09,4.47
37,port elizabeth,0,ZA,1604779334,93,-33.92,25.57,62.6,5.82
38,ancud,0,CL,1604779334,55,-41.87,-73.82,64.4,9.17
39,port alfred,0,ZA,1604779334,89,-33.59,26.89,68.54,2.95
40,evanston,20,US,1604779134,43,42.04,-87.69,73.0,14.99
41,severo-kurilsk,0,RU,1604779334,83,50.68,156.12,34.47,2.46
42,narsaq,75,GL,1604779334,74,60.92,-46.05,30.2,3.36
43,east london,0,ZA,1604779334,82,-33.02,27.91,69.8,13.4
44,busselton,47,AU,1604779309,66,-33.65,115.33,55.0,2.75
45,saint-philippe,0,RE,1604779300,78,-21.36,55.77,73.4,11.41
46,ixtapa,5,MX,1604779210,55,20.7,-105.2,86.0,9.17
47,vila velha,75,BR,1604779254,78,-20.33,-40.29,79.0,10.29
48,kargasok,100,RU,1604779336,84,59.06,80.86,35.62,11.79
49,mount isa,27,AU,1604779336,12,-20.73,139.5,77.0,11.41
50,puerto ayora,40,EC,1604779336,69,-0.74,-90.35,77.0,19.46
51,primero de enero,75,CU,1604779336,100,21.95,-78.43,75.2,6.93
52,lamu,90,KE,1604779336,83,-2.27,40.9,80.6,8.05
53,khatanga,9,RU,1604779336,87,71.97,102.5,-4.45,12.57
54,pacific grove,40,US,1604779084,62,36.62,-121.92,57.99,6.93
55,kavaratti,0,IN,1604779306,74,10.57,72.64,83.07,7.27
56,atuona,94,PF,1604779337,71,-9.8,-139.03,77.79,14.54
57,hilo,90,US,1604779208,78,19.73,-155.09,78.8,5.82
58,pangnirtung,90,CA,1604779337,92,66.15,-65.71,10.4,11.41
59,umm lajj,30,SA,1604779337,65,25.02,37.27,72.95,7.54
60,bredasdorp,0,ZA,1604779337,48,-34.53,20.04,64.4,16.11
61,bathsheba,40,BB,1604779337,66,13.22,-59.52,87.8,16.11
62,albemarle,40,US,1604779059,57,35.35,-80.2,79.0,6.93
63,chapada dos guimaraes,40,BR,1604779337,27,-15.46,-55.75,100.4,6.93
64,nuuk,90,GL,1604779149,92,64.18,-51.72,23.0,4.7
65,bambous virieux,20,MU,1604779337,78,-20.34,57.76,73.4,8.05
66,nishihara,40,JP,1604779201,100,26.18,127.76,75.2,5.82
67,dalvik,75,IS,1604779338,56,65.97,-18.53,44.6,21.92
68,walvis bay,0,NA,1604779338,77,-22.96,14.51,62.6,8.05
69,gilbues,22,BR,1604779338,70,-9.83,-45.34,81.23,7.72
70,hithadhoo,84,MV,1604779188,73,-0.6,73.08,83.1,8.66
71,barrow,90,US,1604779186,92,71.29,-156.79,30.2,23.04
72,fort nelson,75,CA,1604779338,84,58.81,-122.7,8.6,3.36
73,hay river,79,CA,1604779338,77,60.82,-115.8,5.0,3.36
74,buraydah,40,SA,1604779338,88,26.33,43.98,69.8,6.93
75,vanavara,100,RU,1604779270,96,60.34,102.28,13.03,3.8
76,kismayo,100,SO,1604779338,80,-0.36,42.55,80.17,10.11
77,saskylakh,5,RU,1604779338,89,71.92,114.08,-8.91,6.96
78,namatanai,76,PG,1604779338,76,-3.67,152.43,79.72,5.1
79,mehriz,20,IR,1604779339,13,31.59,54.43,64.4,2.24
80,jamestown,1,US,1604779297,39,42.1,-79.24,69.01,6.93
81,barranca de upia,53,CO,1604779339,74,4.57,-72.97,84.47,2.13
82,estelle,75,US,1604779339,94,29.85,-90.11,73.99,10.29
83,hobart,20,AU,1604779184,86,-42.88,147.33,44.01,8.05
84,watertown,75,US,1604779200,35,42.37,-71.18,78.8,9.17
85,kalmar,71,SE,1604779339,93,56.66,16.36,50.0,5.82
86,afua,94,BR,1604779339,73,-0.16,-50.39,84.78,7.43
87,dikson,33,RU,1604779339,89,73.51,80.55,-2.6,11.83
88,rawlins,20,US,1604779256,47,41.79,-107.24,57.99,32.21
89,avarua,100,CK,1604779191,78,-21.21,-159.78,77.0,4.7
90,meulaboh,100,ID,1604779340,86,4.14,96.13,76.44,4.0
91,camacha,20,PT,1604779340,82,33.08,-16.33,66.2,3.36
92,cidreira,3,BR,1604779340,77,-30.18,-50.21,69.93,14.52
93,porto velho,40,BR,1604779123,52,-8.76,-63.9,91.4,6.93
94,kawalu,40,ID,1604779340,91,-7.38,108.21,70.34,0.81
95,tuktoyaktuk,75,CA,1604779188,79,69.45,-133.04,26.6,20.8
96,kasama,0,ZM,1604779341,26,-10.21,31.18,71.24,4.88
97,kodiak,90,US,1604779154,87,57.79,-152.41,42.8,8.3
98,andenes,100,NO,1604779341,74,69.31,16.12,37.4,33.33
99,qaanaaq,0,GL,1604779313,71,77.48,-69.36,-12.95,7.56
100,mobaye,99,CF,1604779341,91,4.32,21.18,72.54,1.28
101,deputatskiy,96,RU,1604779341,92,69.3,139.9,-5.76,3.2
102,luderitz,0,NA,1604779341,85,-26.65,15.16,63.1,5.64
103,broome,1,US,1604779341,42,42.25,-75.83,70.0,8.05
104,alice springs,0,AU,1604779103,23,-23.7,133.88,60.8,6.93
105,santa vitoria do palmar,20,BR,1604779316,73,-33.52,-53.37,67.73,11.7
106,georgetown,40,MY,1604779341,88,5.41,100.34,78.8,3.36
107,nantai,0,CN,1604779342,68,40.92,122.8,32.18,7.16
108,pierre,1,US,1604779132,61,44.37,-100.35,50.0,4.7
109,coahuayana,20,MX,1604779342,58,18.73,-103.68,82.4,6.4
110,saint-francois,0,FR,1604779342,59,46.42,3.91,60.8,6.93
111,saint george,75,US,1604779260,30,37.1,-113.58,57.2,20.8
112,norman wells,75,CA,1604779342,92,65.28,-126.83,23.0,4.94
113,vestmannaeyjar,75,IS,1604779342,87,63.44,-20.27,44.6,21.92
114,kabugao,100,PH,1604779342,87,18.02,121.18,74.77,0.43
115,kaitangata,100,NZ,1604779217,60,-46.28,169.85,51.01,8.01
116,vardo,99,NO,1604779342,75,70.37,31.11,39.45,35.79
117,butaritari,100,KI,1604779284,73,3.07,172.79,80.87,10.74
118,codrington,6,AU,1604779343,92,-38.27,141.97,41.68,6.06
119,sitka,20,US,1604779343,80,57.05,-135.33,35.6,3.36
120,leshukonskoye,100,RU,1604779231,96,64.9,45.76,32.92,7.09
